FileName,soft_act_labels,soft_val_labels,annotators
01_DR-100_0097_3_sentence_3.wav,"[3, 2, 1, 4, 1, 3, 1, 4, 7]","[5, 4, 5, 4, 4, 6, 5, 5, 8]","['ABS83QIWSMZ9', 'AIK9W79I4TPJW', 'A3KCUB6P3IE8NL', 'A2JP9IKRHNLRPI', 'A2FFNO6G4FEE2N', 'ALQPGVQZEZSUE', 'A1FP3SH704X01V', 'A2I960JYUZ8KAV', 'self_report_01']"
01_DR-100_0097_3_sentence_4.wav,"[1, 3, 4, 3, 1, 1, 3, 1, 7]","[5, 5, 6, 4, 5, 5, 5, 5, 8]","['A2FFNO6G4FEE2N', 'ABS83QIWSMZ9', 'A2I960JYUZ8KAV', 'A2JP9IKRHNLRPI', 'A1Y0Y6U906ABT5', 'A1NIO3JNX5QTN8', 'ALQPGVQZEZSUE', 'A3KCUB6P3IE8NL', 'self_report_01']"
01_DR-100_0097_3_sentence_5.wav,"[4, 3, 4, 3, 3, 1, 2, 2, 7]","[5, 5, 6, 4, 4, 5, 3, 5, 8]","['A2JP9IKRHNLRPI', 'ALQPGVQZEZSUE', 'A2I960JYUZ8KAV', 'A1FP3SH704X01V', 'ABS83QIWSMZ9', 'A3KCUB6P3IE8NL', 'ASTDBTVY3WP1K', 'A2FFNO6G4FEE2N', 'self_report_01']"
01_DR-100_0097_3_sentence_6.wav,"[1, 1, 3, 3, 3, 1, 3, 1, 7]","[4, 4, 4, 3, 3, 4, 6, 3, 8]","['A2FFNO6G4FEE2N', 'A3KCUB6P3IE8NL', 'A2I960JYUZ8KAV', 'ABS83QIWSMZ9', 'A2JP9IKRHNLRPI', 'A1Y0Y6U906ABT5', 'A1PUHCEBSOWETV', 'A1NIO3JNX5QTN8', 'self_report_01']"
01_DR-100_0097_3_sentence_7.wav,"[1, 1, 2, 2, 2, 1, 1, 1, 7]","[4, 5, 5, 5, 3, 5, 5, 5, 8]","['A2FFNO6G4FEE2N', 'A3KCUB6P3IE8NL', 'A2JP9IKRHNLRPI', 'A2I960JYUZ8KAV', 'ABS83QIWSMZ9', 'A1FP3SH704X01V', 'A1NIO3JNX5QTN8', 'A1PUHCEBSOWETV', 'self_report_01']"
01_DR-100_0097_3_sentence_8.wav,"[1, 3, 3, 2, 4, 2, 1, 3, 7]","[4, 3, 3, 5, 3, 5, 5, 5, 8]","['A3KCUB6P3IE8NL', 'AIK9W79I4TPJW', 'A2JP9IKRHNLRPI', 'ALQPGVQZEZSUE', 'ABS83QIWSMZ9', 'ASTDBTVY3WP1K', 'A1FP3SH704X01V', 'A2I960JYUZ8KAV', 'self_report_01']"
01_DR-100_0097_3_sentence_9.wav,"[4, 4, 5, 1, 1, 3, 1, 2, 7]","[5, 4, 4, 5, 5, 5, 5, 5, 8]","['A2I960JYUZ8KAV', 'ABS83QIWSMZ9', 'A2JP9IKRHNLRPI', 'A3KCUB6P3IE8NL', 'A10BH9PYCYUKDJ', 'ALQPGVQZEZSUE', 'A1NIO3JNX5QTN8', 'A1Y0Y6U906ABT5', 'self_report_01']"
01_DR-100_0097_5_sentence_1.wav,"[1, 4, 3, 3, 1, 2, 3, 3, 8]","[6, 6, 5, 5, 5, 6, 6, 6, 3]","['A3KCUB6P3IE8NL', 'ABS83QIWSMZ9', 'A2JP9IKRHNLRPI', 'A2I960JYUZ8KAV', 'A1FP3SH704X01V', 'A1PUHCEBSOWETV', 'ALQPGVQZEZSUE', 'A2FFNO6G4FEE2N', 'self_report_01']"
01_DR-100_0097_5_sentence_10.wav,"[4, 1, 5, 3, 2, 1, 4, 2, 8]","[6, 6, 5, 7, 6, 6, 5, 6, 3]","['A2I960JYUZ8KAV', 'A3KCUB6P3IE8NL', 'A2JP9IKRHNLRPI', 'ALQPGVQZEZSUE', 'A1FP3SH704X01V', 'A1NIO3JNX5QTN8', 'ABS83QIWSMZ9', 'ASTDBTVY3WP1K', 'self_report_01']"
01_DR-100_0097_5_sentence_11.wav,"[4, 1, 3, 1, 1, 4, 1, 1, 8]","[5, 5, 5, 5, 5, 6, 5, 5, 3]","['ABS83QIWSMZ9', 'A3KCUB6P3IE8NL', 'A2JP9IKRHNLRPI', 'A1Y0Y6U906ABT5', 'A1FP3SH704X01V', 'A2I960JYUZ8KAV', 'A2FFNO6G4FEE2N', 'A1NIO3JNX5QTN8', 'self_report_01']"
01_DR-100_0097_5_sentence_2.wav,"[1, 3, 5, 4, 2, 2, 3, 4, 8]","[4, 4, 3, 6, 4, 6, 4, 5, 3]","['A3KCUB6P3IE8NL', 'A2FFNO6G4FEE2N', 'A2JP9IKRHNLRPI', 'ABS83QIWSMZ9', 'A1Y0Y6U906ABT5', 'A1PUHCEBSOWETV', 'ALQPGVQZEZSUE', 'A2I960JYUZ8KAV', 'self_report_01']"
01_DR-100_0097_5_sentence_3.wav,"[5, 4, 3, 1, 1, 4, 3, 1, 8]","[5, 5, 5, 5, 5, 5, 5, 5, 3]","['A2JP9IKRHNLRPI', 'ABS83QIWSMZ9', 'A2FFNO6G4FEE2N', 'A1FP3SH704X01V', 'A3KCUB6P3IE8NL', 'A2I960JYUZ8KAV', 'ALQPGVQZEZSUE', 'A1Y0Y6U906ABT5', 'self_report_01']"
01_DR-100_0097_5_sentence_4.wav,"[2, 2, 4, 2, 2, 1, 4, 1, 8]","[5, 6, 6, 4, 5, 6, 6, 5, 3]","['A2JP9IKRHNLRPI', 'A2FFNO6G4FEE2N', 'ABS83QIWSMZ9', 'A1PUHCEBSOWETV', 'A1FP3SH704X01V', 'ANV8C2DATCAPB', 'A2I960JYUZ8KAV', 'A3KCUB6P3IE8NL', 'self_report_01']"
01_DR-100_0097_5_sentence_5.wav,"[3, 4, 1, 4, 2, 1, 1, 2, 8]","[5, 5, 5, 5, 6, 5, 5, 6, 3]","['ABS83QIWSMZ9', 'A2JP9IKRHNLRPI', 'A1FP3SH704X01V', 'A2I960JYUZ8KAV', 'A2FFNO6G4FEE2N', 'A3KCUB6P3IE8NL', 'A1NIO3JNX5QTN8', 'A1PUHCEBSOWETV', 'self_report_01']"
01_DR-100_0097_5_sentence_6.wav,"[4, 3, 1, 2, 2, 1, 2, 4, 8]","[6, 6, 6, 6, 5, 7, 6, 6, 3]","['A2JP9IKRHNLRPI', 'ABS83QIWSMZ9', 'A3KCUB6P3IE8NL', 'A1Y0Y6U906ABT5', 'A1FP3SH704X01V', 'A1NIO3JNX5QTN8', 'A1PUHCEBSOWETV', 'A2I960JYUZ8KAV', 'self_report_01']"
01_DR-100_0097_5_sentence_7.wav,"[1, 4, 2, 4, 1, 3, 1, 4, 8]","[4, 2, 3, 7, 4, 4, 3, 6, 3]","['A3KCUB6P3IE8NL', 'A2JP9IKRHNLRPI', 'ALQPGVQZEZSUE', 'ABS83QIWSMZ9', 'ASTDBTVY3WP1K', 'A2FFNO6G4FEE2N', 'A1PUHCEBSOWETV', 'A2I960JYUZ8KAV', 'self_report_01']"
01_DR-100_0097_5_sentence_8.wav,"[1, 1, 3, 4, 4, 2, 1, 3, 8]","[4, 5, 5, 6, 6, 6, 5, 5, 3]","['A2FFNO6G4FEE2N', 'A3KCUB6P3IE8NL', 'A2JP9IKRHNLRPI', 'A2I960JYUZ8KAV', 'ABS83QIWSMZ9', 'A1PUHCEBSOWETV', 'A1Y0Y6U906ABT5', 'ASTDBTVY3WP1K', 'self_report_01']"
01_DR-100_0097_5_sentence_9.wav,"[3, 1, 2, 3, 4, 1, 1, 1, 8]","[7, 3, 3, 5, 6, 5, 5, 5, 3]","['ABS83QIWSMZ9', 'A2FFNO6G4FEE2N', 'ALQPGVQZEZSUE', 'A2I960JYUZ8KAV', 'A2JP9IKRHNLRPI', 'A1NIO3JNX5QTN8', 'A1FP3SH704X01V', 'A3KCUB6P3IE8NL', 'self_report_01']"
01_DR-100_0097_7_sentence_1.wav,"[1, 6, 2, 5, 5, 3, 2, 3, 6]","[6, 8, 4, 7, 7, 6, 6, 6, 8]","['A3KCUB6P3IE8NL', 'A2JP9IKRHNLRPI', 'ALQPGVQZEZSUE', 'A2I960JYUZ8KAV', 'ABS83QIWSMZ9', 'A1PUHCEBSOWETV', 'A1FP3SH704X01V', 'A2FFNO6G4FEE2N', 'self_report_01']"
01_DR-100_0097_7_sentence_10.wav,"[3, 3, 3, 1, 1, 1, 1, 4, 6]","[5, 5, 5, 6, 5, 5, 5, 5, 8]","['A2JP9IKRHNLRPI', 'ABS83QIWSMZ9', 'ALQPGVQZEZSUE', 'A2FFNO6G4FEE2N', 'A1FP3SH704X01V', 'A1Y0Y6U906ABT5', 'A3KCUB6P3IE8NL', 'A2I960JYUZ8KAV', 'self_report_01']"
01_DR-100_0097_7_sentence_11.wav,"[1, 3, 3, 3, 1, 1, 2, 4, 6]","[5, 5, 5, 6, 5, 5, 6, 6, 8]","['A3KCUB6P3IE8NL', 'A2JP9IKRHNLRPI', 'ALQPGVQZEZSUE', 'ABS83QIWSMZ9', 'A1Y0Y6U906ABT5', 'A1FP3SH704X01V', 'A1PUHCEBSOWETV', 'A2I960JYUZ8KAV', 'self_report_01']"
01_DR-100_0097_7_sentence_12.wav,"[3, 5, 1, 4, 2, 1, 1, 1, 6]","[5, 5, 6, 6, 5, 5, 6, 6, 8]","['ABS83QIWSMZ9', 'A2JP9IKRHNLRPI', 'A1Y0Y6U906ABT5', 'A2I960JYUZ8KAV', 'A1FP3SH704X01V', 'A3KCUB6P3IE8NL', 'A1NIO3JNX5QTN8', 'A2FFNO6G4FEE2N', 'self_report_01']"
01_DR-100_0097_7_sentence_13.wav,"[2, 1, 4, 4, 5, 2, 2, 3, 6]","[3, 5, 6, 4, 7, 6, 6, 6, 8]","['A2FFNO6G4FEE2N', 'A3KCUB6P3IE8NL', 'ABS83QIWSMZ9', 'A2JP9IKRHNLRPI', 'A2I960JYUZ8KAV', 'ASTDBTVY3WP1K', 'A1Y0Y6U906ABT5', 'A1PUHCEBSOWETV', 'self_report_01']"
01_DR-100_0097_7_sentence_14.wav,"[1, 5, 5, 4, 2, 1, 2, 4, 6]","[3, 6, 7, 6, 6, 5, 6, 6, 8]","['A2FFNO6G4FEE2N', 'A2JP9IKRHNLRPI', 'A2I960JYUZ8KAV', 'ABS83QIWSMZ9', 'A3KCUB6P3IE8NL', 'A1NIO3JNX5QTN8', 'A1FP3SH704X01V', 'ASTDBTVY3WP1K', 'self_report_01']"
01_DR-100_0097_7_sentence_2.wav,"[2, 4, 2, 2, 4, 1, 1, 3, 6]","[5, 6, 5, 6, 6, 5, 5, 6, 8]","['A2JP9IKRHNLRPI', 'A2I960JYUZ8KAV', 'ALQPGVQZEZSUE', 'A1FP3SH704X01V', 'ABS83QIWSMZ9', 'A3KCUB6P3IE8NL', 'A1NIO3JNX5QTN8', 'ASTDBTVY3WP1K', 'self_report_01']"
01_DR-100_0097_7_sentence_3.wav,"[1, 6, 5, 2, 4, 2, 3, 1, 6]","[5, 6, 6, 5, 6, 6, 7, 7, 8]","['A3KCUB6P3IE8NL', 'A2JP9IKRHNLRPI', 'A2I960JYUZ8KAV', 'A2FFNO6G4FEE2N', 'ABS83QIWSMZ9', 'A1Y0Y6U906ABT5', 'A1PUHCEBSOWETV', 'A1NIO3JNX5QTN8', 'self_report_01']"
01_DR-100_0097_7_sentence_4.wav,"[5, 1, 4, 4, 1, 2, 3, 1, 6]","[6, 4, 6, 5, 5, 6, 5, 5, 8]","['ABS83QIWSMZ9', 'A2FFNO6G4FEE2N', 'A2I960JYUZ8KAV', 'A2JP9IKRHNLRPI', 'A1FP3SH704X01V', 'A1PUHCEBSOWETV', 'ALQPGVQZEZSUE', 'A3KCUB6P3IE8NL', 'self_report_01']"
01_DR-100_0097_7_sentence_5.wav,"[3, 1, 4, 3, 3, 5, 2, 3, 6]","[6, 5, 6, 4, 6, 5, 7, 5, 8]","['A2JP9IKRHNLRPI', 'A3KCUB6P3IE8NL', 'ABS83QIWSMZ9', 'A1FP3SH704X01V', 'A2FFNO6G4FEE2N', 'A2I960JYUZ8KAV', 'A1Y0Y6U906ABT5', 'ALQPGVQZEZSUE', 'self_report_01']"
01_DR-100_0097_7_sentence_6.wav,"[2, 5, 1, 4, 4, 3, 3, 4, 6]","[4, 5, 5, 7, 7, 6, 5, 6, 8]","['A2FFNO6G4FEE2N', 'A2JP9IKRHNLRPI', 'A3KCUB6P3IE8NL', 'ASTDBTVY3WP1K', 'ABS83QIWSMZ9', 'A1FP3SH704X01V', 'ALQPGVQZEZSUE', 'A2I960JYUZ8KAV', 'self_report_01']"
01_DR-100_0097_7_sentence_7.wav,"[3, 5, 1, 2, 4, 2, 2, 1, 6]","[6, 6, 5, 5, 6, 6, 5, 5, 8]","['ABS83QIWSMZ9', 'A2JP9IKRHNLRPI', 'A1Y0Y6U906ABT5', 'A1FP3SH704X01V', 'A2I960JYUZ8KAV', 'A1PUHCEBSOWETV', 'ASTDBTVY3WP1K', 'A1NIO3JNX5QTN8', 'self_report_01']"
01_DR-100_0097_7_sentence_8.wav,"[5, 1, 4, 5, 1, 3, 3, 2, 6]","[6, 5, 6, 7, 6, 6, 6, 5, 8]","['A2JP9IKRHNLRPI', 'A3KCUB6P3IE8NL', 'A2I960JYUZ8KAV', 'ABS83QIWSMZ9', 'A1Y0Y6U906ABT5', 'ASTDBTVY3WP1K', 'ALQPGVQZEZSUE', 'A2FFNO6G4FEE2N', 'self_report_01']"
01_DR-100_0097_7_sentence_9.wav,"[5, 4, 2, 1, 5, 1, 2, 2, 6]","[6, 6, 4, 5, 6, 5, 5, 5, 8]","['A2JP9IKRHNLRPI', 'ABS83QIWSMZ9', 'A2FFNO6G4FEE2N', 'A3KCUB6P3IE8NL', 'A2I960JYUZ8KAV', 'A1Y0Y6U906ABT5', 'A1FP3SH704X01V', 'ASTDBTVY3WP1K', 'self_report_01']"
01_DR-100_0097_9_sentence_1.wav,"[5, 1, 4, 2, 2, 3, 2, 5, 7]","[3, 5, 4, 3, 4, 4, 4, 5, 7]","['A2JP9IKRHNLRPI', 'A3KCUB6P3IE8NL', 'ABS83QIWSMZ9', 'A1FP3SH704X01V', 'A10BH9PYCYUKDJ', 'ALQPGVQZEZSUE', 'ASTDBTVY3WP1K', 'A2I960JYUZ8KAV', 'self_report_01']"
01_DR-100_0097_9_sentence_2.wav,"[4, 1, 4, 2, 4, 1, 3, 1, 7]","[5, 5, 4, 4, 6, 6, 5, 6, 7]","['A2I960JYUZ8KAV', 'A3KCUB6P3IE8NL', 'ABS83QIWSMZ9', 'A1FP3SH704X01V', 'A2JP9IKRHNLRPI', 'A1PUHCEBSOWETV', 'ALQPGVQZEZSUE', 'A2FFNO6G4FEE2N', 'self_report_01']"
01_DR-100_0097_9_sentence_3.wav,"[4, 4, 2, 3, 1, 4, 4, 1, 7]","[4, 4, 4, 5, 4, 2, 6, 5, 7]","['A2JP9IKRHNLRPI', 'ABS83QIWSMZ9', 'A1FP3SH704X01V', 'A10BH9PYCYUKDJ', 'A1NIO3JNX5QTN8', 'A1Y0Y6U906ABT5', 'A2I960JYUZ8KAV', 'A2FFNO6G4FEE2N', 'self_report_01']"
01_DR-100_0097_9_sentence_4.wav,"[5, 3, 4, 2, 3, 3, 1, 2, 7]","[3, 5, 3, 4, 5, 4, 2, 4, 7]","['A2JP9IKRHNLRPI', 'A2I960JYUZ8KAV', 'ABS83QIWSMZ9', 'A1FP3SH704X01V', 'A10BH9PYCYUKDJ', 'A2FFNO6G4FEE2N', 'A1NIO3JNX5QTN8', 'ASTDBTVY3WP1K', 'self_report_01']"
01_DR-100_0097_9_sentence_5.wav,"[3, 1, 3, 4, 2, 4, 3, 3, 7]","[4, 4, 4, 4, 4, 4, 4, 3, 7]","['A1FP3SH704X01V', 'A3KCUB6P3IE8NL', 'A2I960JYUZ8KAV', 'ABS83QIWSMZ9', 'A2FFNO6G4FEE2N', 'A2JP9IKRHNLRPI', 'ALQPGVQZEZSUE', 'ASTDBTVY3WP1K', 'self_report_01']"
01_DR-100_0097_9_sentence_6.wav,"[2, 4, 4, 5, 3, 1, 3, 1, 7]","[6, 6, 3, 7, 6, 6, 6, 6, 7]","['A2FFNO6G4FEE2N', 'ABS83QIWSMZ9', 'A2JP9IKRHNLRPI', 'A2I960JYUZ8KAV', 'A1PUHCEBSOWETV', 'A3KCUB6P3IE8NL', 'ALQPGVQZEZSUE', 'A1NIO3JNX5QTN8', 'self_report_01']"
01_DR-100_0097_9_sentence_7.wav,"[2, 1, 4, 3, 4, 1, 3, 3, 7]","[6, 5, 3, 4, 4, 6, 4, 7, 7]","['ABS83QIWSMZ9', 'A3KCUB6P3IE8NL', 'A2JP9IKRHNLRPI', 'A2I960JYUZ8KAV', 'ALQPGVQZEZSUE', 'A1NIO3JNX5QTN8', 'A1FP3SH704X01V', 'A1PUHCEBSOWETV', 'self_report_01']"
02_DR-100_0092_1_sentence_1.wav,"[4, 3, 4, 3, 1, 4, 5, 3, 4]","[7, 6, 7, 6, 6, 5, 6, 6, 6]","['ABS83QIWSMZ9', 'A1FP3SH704X01V', 'A2JP9IKRHNLRPI', 'A1PUHCEBSOWETV', 'ASTDBTVY3WP1K', 'ALQPGVQZEZSUE', 'A2I960JYUZ8KAV', 'A2FFNO6G4FEE2N', 'self_report_02']"
02_DR-100_0092_1_sentence_10.wav,"[4, 1, 5, 5, 3, 3, 2, 2, 4]","[6, 6, 4, 4, 5, 7, 6, 5, 6]","['A2I960JYUZ8KAV', 'A3KCUB6P3IE8NL', 'A2JP9IKRHNLRPI', 'ABS83QIWSMZ9', 'ALQPGVQZEZSUE', 'ASTDBTVY3WP1K', 'A1PUHCEBSOWETV', 'A1FP3SH704X01V', 'self_report_02']"
02_DR-100_0092_1_sentence_2.wav,"[5, 5, 4, 2, 3, 4, 3, 2, 4]","[4, 7, 6, 6, 6, 6, 6, 6, 6]","['A2JP9IKRHNLRPI', 'A2I960JYUZ8KAV', 'ABS83QIWSMZ9', 'A1Y0Y6U906ABT5', 'A10BH9PYCYUKDJ', 'A2FFNO6G4FEE2N', 'A1FP3SH704X01V', 'A3KCUB6P3IE8NL', 'self_report_02']"
02_DR-100_0092_1_sentence_3.wav,"[5, 5, 2, 4, 1, 1, 3, 4, 4]","[6, 6, 8, 6, 5, 6, 6, 6, 6]","['A2JP9IKRHNLRPI', 'ABS83QIWSMZ9', 'ASTDBTVY3WP1K', 'ALQPGVQZEZSUE', 'A3KCUB6P3IE8NL', 'A1Y0Y6U906ABT5', 'A2FFNO6G4FEE2N', 'A2I960JYUZ8KAV', 'self_report_02']"
02_DR-100_0092_1_sentence_4.wav,"[1, 4, 3, 4, 5, 3, 1, 1, 4]","[5, 5, 9, 5, 5, 5, 5, 5, 6]","['A3KCUB6P3IE8NL', 'ABS83QIWSMZ9', 'ASTDBTVY3WP1K', 'A2I960JYUZ8KAV', 'A2JP9IKRHNLRPI', 'ALQPGVQZEZSUE', 'A1NIO3JNX5QTN8', 'A1FP3SH704X01V', 'self_report_02']"
02_DR-100_0092_1_sentence_5.wav,"[5, 2, 5, 5, 3, 3, 1, 6, 4]","[8, 7, 6, 7, 6, 7, 7, 7, 6]","['ABS83QIWSMZ9', 'A3KCUB6P3IE8NL', 'A2I960JYUZ8KAV', 'A2JP9IKRHNLRPI', 'A1FP3SH704X01V', 'A2FFNO6G4FEE2N', 'A1NIO3JNX5QTN8', 'ASTDBTVY3WP1K', 'self_report_02']"
02_DR-100_0092_1_sentence_6.wav,"[5, 4, 4, 6, 2, 3, 6, 3, 4]","[8, 7, 6, 7, 6, 6, 7, 6, 6]","['ABS83QIWSMZ9', 'A2FFNO6G4FEE2N', 'A2I960JYUZ8KAV', 'A2JP9IKRHNLRPI', 'A3KCUB6P3IE8NL', 'ANV8C2DATCAPB', 'ALQPGVQZEZSUE', 'A1FP3SH704X01V', 'self_report_02']"
02_DR-100_0092_1_sentence_7.wav,"[5, 6, 5, 4, 1, 3, 2, 1, 4]","[6, 6, 6, 6, 5, 5, 4, 6, 6]","['ABS83QIWSMZ9', 'A2I960JYUZ8KAV', 'A2JP9IKRHNLRPI', 'ASTDBTVY3WP1K', 'A3KCUB6P3IE8NL', 'A1FP3SH704X01V', 'ANV8C2DATCAPB', 'A1NIO3JNX5QTN8', 'self_report_02']"
02_DR-100_0092_1_sentence_8.wav,"[4, 4, 2, 5, 2, 5, 2, 2, 4]","[7, 6, 7, 3, 5, 7, 7, 7, 6]","['A2I960JYUZ8KAV', 'ABS83QIWSMZ9', 'A3KCUB6P3IE8NL', 'A2JP9IKRHNLRPI', 'A1FP3SH704X01V', 'ALQPGVQZEZSUE', 'A1PUHCEBSOWETV', 'A2FFNO6G4FEE2N', 'self_report_02']"
02_DR-100_0092_1_sentence_9.wav,"[5, 5, 2, 1, 4, 3, 5, 4, 4]","[8, 7, 5, 6, 8, 7, 7, 6, 6]","['ABS83QIWSMZ9', 'A2JP9IKRHNLRPI', 'A1FP3SH704X01V', 'A3KCUB6P3IE8NL', 'A1Y0Y6U906ABT5', 'A1PUHCEBSOWETV', 'A2FFNO6G4FEE2N', 'A2I960JYUZ8KAV', 'self_report_02']"
02_DR-100_0092_3_sentence_1.wav,"[4, 4, 3, 3, 4, 4, 2, 2, 5]","[3, 3, 4, 4, 6, 4, 4, 5, 5]","['ABS83QIWSMZ9', 'A2JP9IKRHNLRPI', 'AIK9W79I4TPJW', 'ALQPGVQZEZSUE', 'A2FFNO6G4FEE2N', 'A2I960JYUZ8KAV', 'A1Y0Y6U906ABT5', 'A3KCUB6P3IE8NL', 'self_report_02']"
02_DR-100_0092_3_sentence_10.wav,"[5, 5, 2, 3, 2, 6, 2, 2, 5]","[5, 4, 5, 5, 6, 5, 5, 6, 5]","['A2I960JYUZ8KAV', 'ABS83QIWSMZ9', 'A3KCUB6P3IE8NL', 'ASTDBTVY3WP1K', 'A1PUHCEBSOWETV', 'ALQPGVQZEZSUE', 'A1FP3SH704X01V', 'A2FFNO6G4FEE2N', 'self_report_02']"
02_DR-100_0092_3_sentence_11.wav,"[3, 5, 4, 1, 3, 1, 1, 5, 5]","[4, 3, 3, 5, 4, 4, 4, 4, 5]","['A2I960JYUZ8KAV', 'A2JP9IKRHNLRPI', 'ABS83QIWSMZ9', 'A1PUHCEBSOWETV', 'A1FP3SH704X01V', 'A3KCUB6P3IE8NL', 'A1NIO3JNX5QTN8', 'ALQPGVQZEZSUE', 'self_report_02']"
02_DR-100_0092_3_sentence_12.wav,"[5, 1, 4, 3, 5, 1, 2, 4, 5]","[4, 5, 5, 6, 4, 5, 5, 6, 5]","['A2JP9IKRHNLRPI', 'A3KCUB6P3IE8NL', 'A2I960JYUZ8KAV', 'A2FFNO6G4FEE2N', 'ABS83QIWSMZ9', 'A1NIO3JNX5QTN8', 'A1Y0Y6U906ABT5', 'ASTDBTVY3WP1K', 'self_report_02']"
02_DR-100_0092_3_sentence_13.wav,"[2, 5, 4, 5, 4, 2, 6, 4, 5]","[5, 3, 3, 5, 4, 5, 4, 5, 5]","['A3KCUB6P3IE8NL', 'ABS83QIWSMZ9', 'A2JP9IKRHNLRPI', 'A2I960JYUZ8KAV', 'A2FFNO6G4FEE2N', 'A1PUHCEBSOWETV', 'ALQPGVQZEZSUE', 'ASTDBTVY3WP1K', 'self_report_02']"
